Название остановки,Адреса из базы,Запрос геокодирования,lat,lon,Статус,Комментарий проверки,Ссылка на Яндекс.Карты
ЗМК,ул. Волчанская / четная; ул. Волчанская / нечетная,"Белгород, ЗМК",50.5465974,36.6519725,точно,"найдено по названию: ЗМК, Волчанская улица, Восточный округ, Белгород, городской округ Белгород, Белгородская область, Центральный федеральный округ, 308013, Россия","https://yandex.ru/maps/?ll=36.6519725%2C50.5465974&z=17&pt=36.6519725%2C50.5465974,pm2rdm"
Кинотеатр «Русич»,пр-кт Ватутина / четная,"Белгород, проспект Ватутина",50.5591647,36.5863242,проверить,"приблизительно по улице из базы, требуется ручная проверка: проспект Ватутина, Восточный округ, Белгород, городской округ Белгород, Белгородская область, Центральный федеральный округ, 308036, Россия","https://yandex.ru/maps/?ll=36.5863242%2C50.5591647&z=17&pt=36.5863242%2C50.5591647,pm2rdm"
Лесосклад,ул. Корочанская / нечетная,"Белгород, Лесосклад",50.5954619,36.6290361,точно,"найдено по названию: Лесосклад, Корочанская улица, Старый Город, Восточный округ, Белгород, городской округ Белгород, Белгородская область, Центральный федеральный округ, 308006, Россия","https://yandex.ru/maps/?ll=36.6290361%2C50.5954619&z=17&pt=36.6290361%2C50.5954619,pm2rdm"
Телевышка,ул. Костюкова / нечетная,"Белгород, ул. Костюкова",50.5786008,36.6146012,проверить,"приблизительно по улице из базы, требуется ручная проверка: улица Костюкова, Восточный округ, Белгород, городской округ Белгород, Белгородская область, Центральный федеральный округ, 308006, Россия","https://yandex.ru/maps/?ll=36.6146012%2C50.5786008&z=17&pt=36.6146012%2C50.5786008,pm2rdm"
Улица Кутузова,пр-кт Б. Хмельницкого / четная,"Белгород, Улица Кутузова",50.6467464,36.5683658,точно,"найдено по названию: Улица Кутузова, проспект Богдана Хмельницкого, Гринёвка, Западный округ, Белгород, городской округ Белгород, Белгородская область, Центральный федеральный округ, 308010, Россия","https://yandex.ru/maps/?ll=36.5683658%2C50.6467464&z=17&pt=36.5683658%2C50.6467464,pm2rdm"
Чародейка,пр-кт Ватутина / нечетная,"Белгород, Чародейка",50.5700037,36.5839909,точно,"найдено по названию: Ателье «Чародейка», проспект Ватутина, Западный округ, Белгород, городской округ Белгород, Белгородская область, Центральный федеральный округ, 308033, Россия","https://yandex.ru/maps/?ll=36.5839909%2C50.5700037&z=17&pt=36.5839909%2C50.5700037,pm2rdm"
Юнэкт,ул. Корочанская / нечетная,"Белгород, Юнэкт",50.5908212,36.6271466,проверить,"приблизительно, требуется ручная проверка: ЮНЭКТ, 132А к4, Корочанская улица, Старый Город, Восточный округ, Белгород, городской округ Белгород, Белгородская область, Центральный федеральный округ, 308006, Россия","https://yandex.ru/maps/?ll=36.6271466%2C50.5908212&z=17&pt=36.6271466%2C50.5908212,pm2rdm"
