index,name,table_number,old_lat,old_lon,new_lat,new_lon,shift_m,status,components,zoom,comment
81,ул. Волчанская,77,50.5776590,36.6219770,50.5776398,36.6219660,2.3,snapped,1,18,
82,ул. Ворошилова,78,50.5705490,36.5331350,50.5705264,36.5331562,2.9,snapped,2,18,
83,ул. Гагарина,79,50.6166050,36.5773140,50.6165995,36.5771260,13.3,snapped,1,18,
84,ул. Гагарина,80,50.6181200,36.5770420,50.6181859,36.5772242,14.8,snapped,1,18,
85,ул. Магистральная,81,50.5854100,36.6883390,50.5854215,36.6882208,8.4,snapped,2,18,
86,ул. Магистральная,82,50.5719550,36.5371950,50.5719972,36.5372538,6.3,snapped,2,18,
87,ул. Танкистов,83,50.6070020,36.6370340,50.6070135,36.6368889,10.3,snapped,2,18,
88,ул. Танкистов,84,50.6074190,36.6375450,50.6073998,36.6377111,11.9,snapped,2,18,
89,ул. Чичерина,85,50.6126650,36.5364030,50.6125982,36.5362579,12.6,snapped,3,18,
90,ул. Чичерина,86,50.6135390,36.5342690,50.6135811,36.5344190,11.6,snapped,4,18,
91,Улица Губкина,87,50.5719200,36.5881000,50.5719145,36.5880730,2.0,snapped,2,18,
92,Улица Губкина,88,50.5724380,36.5868320,50.5724529,36.5869552,8.9,snapped,2,18,
93,Улица Кутузова,106,50.6467760,36.5683770,50.6468283,36.5683982,6.0,snapped,5,18,
94,Улица Пушкина (дом быта),89,50.6001150,36.5791990,50.6001299,36.5791183,5.9,snapped,2,18,
95,Улица Пушкина (дом быта),89-2,50.6003080,36.5781860,50.6001697,36.5784647,25.0,snapped,3,18,
96,Улица Свободная (магазин Новация),90,50.6014430,36.5687950,50.6014579,36.5688001,1.7,snapped,1,18,
97,Улица Студенческая,91,50.6226940,36.5852020,50.6227191,36.5852340,3.6,snapped,2,18,
98,Цемзавод,92,50.6050700,36.5553870,50.6049896,36.5552848,11.5,snapped,2,18,
99,Цемзавод,93,50.6060170,36.5533190,50.6060217,36.5534261,7.6,snapped,3,18,
100,Чародейка,109,50.5699300,36.5841560,50.5699176,36.5840431,8.1,snapped,2,18,
101,Чумичова,94,50.5984380,36.5916360,50.5984903,36.5916519,5.9,snapped,1,18,
102,Шаландина,95,50.5668310,36.5763570,50.5669106,36.5762441,11.9,snapped,2,18,
103,Шаландина,96,50.5667900,36.5777450,50.5667708,36.5778413,7.1,snapped,2,18,
104,Швейная фабрика,97,50.6249970,36.5752110,50.6249881,36.5751893,1.8,snapped,2,18,
105,Швейная фабрика,98,50.6238650,36.5750640,50.6238527,36.5750262,3.0,snapped,2,18,
106,Школа № 24,99,50.6149110,36.6410670,50.6148953,36.6410721,1.8,snapped,2,18,
107,Школа № 24,100,50.6145640,36.6404640,50.6145687,36.6404852,1.6,snapped,2,18,
108,Школа № 33,101,50.6253630,36.4990000,50.6253847,36.4989193,6.2,snapped,2,18,
109,Школа № 33,102,50.6247780,36.4997630,50.6247452,36.4998111,5.0,snapped,2,18,
110,Шоссейная,103,50.6521700,36.5663650,50.6521781,36.5663380,2.1,snapped,2,18,
111,Шоссейная,104,50.6514210,36.5660760,50.6514087,36.5660704,1.4,snapped,2,18,
112,Энергомаш,105,50.6051040,36.5804170,50.6051189,36.5803846,2.8,snapped,7,18,
113,Юнэкт,112,50.5912840,36.6268490,50.5913193,36.6267951,5.5,snapped,1,18,
